camara,Entidad,orden,distrito,partido,nombre,tipo,idDirectorio,Género
diputados,Estado De México,22,Naucalpan De Juárez,MORENA,Mora Ríos María Teresa Rebeca Rosa,distrito,314,Mujer
diputados,Baja California,7,Mexicali,MORENA,Morales Elvira Erik Isaac,distrito,315,Varón
diputados,Puebla,12,Heroica Puebla De Zaragoza,PES,Morales Flores Eudoxio,distrito,316,Varón
diputados,III Circunscripción,25,,SG,Morales Vázquez Carlos Alberto,circunscripcion,317,Varón
diputados,II Circunscripción,32,,PRI,Moreira Valdez Rubén Ignacio,circunscripcion,318,Varón
diputados,Baja California,5,Tijuana,MORENA,Moreno Gil Mario Ismael,distrito,319,Varón
diputados,Estado De México,26,Toluca De Lerdo,PES,Moreno Medina Esmeralda de los Angeles,distrito,320,Mujer
diputados,IV Circunscripción,12,,MORENA,Muñoz Ledo y Lazo de la Vega Porfirio Alejandro,circunscripcion,321,Varón
diputados,Estado De México,19,Tlalnepantla De Baz,MORENA,Murguía Soto Ulises,distrito,322,Varón
diputados,Guanajuato,9,Irapuato,PAN,Murillo Chávez Janet Melanie,distrito,323,Mujer
diputados,Estado De México,10,Ecatepec De Morelos,MORENA,Navarrete Rivera Alma Delia,distrito,324,Mujer
diputados,V Circunscripción,36,,PRI,Nemer Alvarez Ernesto Javier,circunscripcion,325,Varón
diputados,Baja California,2,Mexicali,MORENA,Noriega Galaz Martha Lizeth,distrito,326,Mujer
diputados,I Circunscripción,36,,PRI,Noroña Quezada Hortensia María Luisa,circunscripcion,327,Mujer
diputados,II Circunscripción,2,,MORENA,Novella Macías Oscar Rafael,circunscripcion,328,Varón
diputados,Tabasco,1,Macuspana,MORENA,Núñez Alvarez Estela,distrito,329,Mujer
diputados,Guanajuato,12,Celaya,PAN,Núñez Cerón Sarai,distrito,330,Mujer
diputados,Chiapas,1,Palenque,MORENA,Obrador Narváez Manuela del Carmen,distrito,331,Mujer
diputados,Guerrero,2,Iguala,MORENA,Ocampo Manzanares Araceli,distrito,332,Mujer
diputados,V Circunscripción,30,,PRI,Ochoa Reza Enrique,circunscripcion,333,Varón
diputados,III Circunscripción,13,,MORENA,Ochoa Valdivia Zaira,circunscripcion,334,Mujer
diputados,Hidalgo,3,Actopan,MORENA,Olvera Bautista Sandra Simey,distrito,335,Mujer
diputados,Estado De México,33,Chalco De Díaz Covarrubias,MORENA,Onofre Vázquez Vicente Alberto,distrito,336,Varón
diputados,Estado De México,23,Lerma De Villada,MORENA,Orihuela Nava David,distrito,337,Varón
diputados,II Circunscripción,28,,PRD,Ortega Martínez Antonio,circunscripcion,338,Varón
diputados,Guanajuato,6,León,PAN,Ortega Martínez Ma. del Pilar,distrito,339,Mujer
diputados,Durango,4,Victoria De Durango,MORENA,Ortega Nájera Hilda Patricia,distrito,340,Mujer
diputados,III Circunscripción,31,,PRI,Ortiz Guarneros Juan,circunscripcion,341,Varón
diputados,Sinaloa,1,Mazatlán,PT,Osuna Medina José Mario,distrito,342,Varón
diputados,Ciudad De México,12,Cuauhtémoc,MORENA,Padierna Luna María de los Dolores,distrito,343,Mujer
diputados,IV Circunscripción,8,,MORENA,Palacios Cordero Lucio Ernesto,circunscripcion,344,Varón
diputados,Quintana Roo,2,Chetumal,MORENA,Palma Olvera Carmen Patricia,distrito,345,Mujer
diputados,Morelos,2,Jiutepec,MORENA,Pani Barragán Alejandra,distrito,346,Mujer
diputados,Puebla,4,Ajalpan,MORENA,Parra Juárez Inés,distrito,347,Mujer
diputados,IV Circunscripción,36,,PRI,Pastor Badilla Claudia,circunscripcion,348,Mujer
diputados,III Circunscripción,22,,PAN,Patrón Laviada Cecilia Anunciación,circunscripcion,349,Mujer
diputados,II Circunscripción,34,,PRI,Pavón Campos Carlos,circunscripcion,350,Varón
diputados,III Circunscripción,40,,MORENA,Peralta De La Peña Ana Patricia,circunscripcion,351,Mujer
diputados,Puebla,9,Heroica Puebla De Zaragoza,MORENA,Pérez Arroyo Alfonso,distrito,352,Varón
diputados,Veracruz,6,Papantla De Olarte,MORENA,Pérez Bernabe Jaime Humberto,distrito,353,Varón
diputados,II Circunscripción,20,,PAN,Pérez Díaz Víctor Manuel,circunscripcion,354,Varón
diputados,Coahuila,6,Torreón,PES,Pérez Hernández José Ángel,distrito,355,Varón
diputados,V Circunscripción,10,,MORENA,Pérez Hernández Sergio,circunscripcion,356,Varón
diputados,Oaxaca,6,Heroica Ciudad De Tlaxiaco,MORENA,Pérez López Beatriz Dominga,distrito,357,Mujer
diputados,I Circunscripción,14,,MORENA,Pérez Mackintosh Miriam Citlally,circunscripcion,358,Mujer
diputados,III Circunscripción,34,,PRI,Pérez Munguía Soraya,circunscripcion,359,Mujer
diputados,Michoacán,10,Morelia,PES,Pérez Negrón Ruiz Iván Arturo,distrito,360,Varón
diputados,Coahuila,1,Piedras Negras,SG,Pérez Rivera Evaristo Lenin,distrito,361,Varón
diputados,Tlaxcala,3,Zacatelco,MORENA,Pérez Rodríguez Claudia,distrito,362,Mujer
diputados,Jalisco,16,Tlaquepaque,MORENA,Pérez Segura Laura Imelda,distrito,363,Mujer
diputados,IV Circunscripción,15,,MORENA,Piña Bernal Adela,circunscripcion,364,Mujer
diputados,III Circunscripción,2,,MORENA,Ponce Cobos Alejandro,circunscripcion,365,Varón
diputados,Nayarit,2,Tepic,MORENA,Ponce Méndez María Geraldine,distrito,366,Mujer
diputados,Quintana Roo,4,Cancún,MORENA,Pool Moo Jesús de los Ángeles,distrito,367,Varón
diputados,Baja California Sur,2,San José Del Cabo,PT,Porras Domínguez Alfredo,distrito,368,Varón
diputados,Chiapas,7,Tonalá,MORENA,Prado de los Santos Miguel,distrito,369,Varón
diputados,V Circunscripción,23,,PAN,Preciado Rodríguez Jorge Luis,circunscripcion,370,Varón
diputados,Jalisco,9,Guadalajara,MC,Prudencio González Carmen Julia,distrito,371,Mujer
diputados,V Circunscripción,35,,PRI,Puente De la Mora Ximena,circunscripcion,372,Mujer
diputados,II Circunscripción,38,,PVEM,Puente Salas Carlos Alberto,circunscripcion,373,Varón
diputados,II Circunscripción,3,,MORENA,Quiroz Rodríguez María Del Carmen,circunscripcion,374,Mujer
diputados,Chiapas,4,Pichucalco,MORENA,Rabelo Velasco Roque Luis,distrito,375,Varón
diputados,Guanajuato,5,León,PAN,Ramírez Barba Éctor Jaime,distrito,376,Varón
diputados,I Circunscripción,20,,MORENA,Ramírez Lucero Martha Patricia,circunscripcion,377,Mujer
diputados,V Circunscripción,16,,MORENA,Ramírez Navarrete Francisco Javier,circunscripcion,378,Varón
diputados,Jalisco,14,Guadalajara,MC,Ramírez Salcido Juan Francisco,distrito,379,Varón
diputados,I Circunscripción,6,,MORENA,Ramos Cruz Verónica,circunscripcion,380,Mujer
diputados,II Circunscripción,6,,MORENA,Ramos Ruiz Juan Israel,circunscripcion,381,Varón
diputados,Ciudad De México,24,Coyoacán,MORENA,Ramos Sotelo Guadalupe,distrito,382,Mujer
diputados,Tamaulipas,5,Ciudad Victoria,PAN,Ramos Tamez Mario Alberto,distrito,383,Varón
diputados,I Circunscripción,10,,MORENA,Regalado Mardueño Carmina Yadira,circunscripcion,384,Mujer
diputados,Estado De México,41,Ojo De Agua,PES,Reséndiz Hernández Nancy Claudia,distrito,385,Mujer
diputados,Guanajuato,13,Valle De Santiago,MORENA,Reyes Carmona Emmanuel,distrito,386,Varón
diputados,Estado De México,40,San Miguel Zinacantepec,MORENA,Reyes Colín Marco Antonio,distrito,387,Varón
diputados,Baja California,3,Ensenada,PT,Reyes Ledesma Armando,distrito,388,Varón
diputados,Veracruz,17,Cosamaloapan,MORENA,Reyes López Valentín,distrito,389,Varón
