id,apellido,nombre,partido,genero,Nacimiento,Comisiones,Posición
392,Alonzo Morales,María Ester,Partido Revolucionario Institucional,f,15/01/1959,Pesca,Integrante
458,Barajas Barajas,Esteban,Movimiento Regeneración Nacional,v,20/01/1959,"Medio Ambiente, Sustentabilidad, Cambio Climático y Recursos Naturales",Integrante
458,Barajas Barajas,Esteban,Movimiento Regeneración Nacional,v,20/01/1959,Turismo,Integrante
364,Garay Ulloa,Silvano,Partido del Trabajo,v,10/02/1959,Gobernación y Población,Integrante
364,Garay Ulloa,Silvano,Partido del Trabajo,v,10/02/1959,"Régimen, Reglamentos y Prácticas Parlamentarias",Integrante
567,García Guardado,María de Jesús,Movimiento Regeneración Nacional,f,03/04/1959,Educación,Integrante
567,García Guardado,María de Jesús,Movimiento Regeneración Nacional,f,03/04/1959,Ganadería,Integrante
41,Trejo Reyes,José Isabel,Partido Acción Nacional,v,09/04/1959,Comunicaciones y Transportes,Integrante
254,Yáñez Centeno y Cabrera,Claudia Valeria,Movimiento Regeneración Nacional,f,02/05/1959,Comunicaciones y Transportes,Integrante
597,Jiménez Pérez,María Roselia,Partido del Trabajo,f,30/08/1959,Justicia,Integrante
597,Jiménez Pérez,María Roselia,Partido del Trabajo,f,30/08/1959,Salud,Integrante
130,Robles Montoya,Ángel Benjamín,Partido del Trabajo,v,08/11/1959,"Economía, Comercio y Competitividad",Integrante
130,Robles Montoya,Ángel Benjamín,Partido del Trabajo,v,08/11/1959,Presupuesto y Cuenta Pública,Integrante
70,Solís Barrera,María Marivel,Movimiento Regeneración Nacional,f,03/01/1960,Infraestructura,Integrante
70,Solís Barrera,María Marivel,Movimiento Regeneración Nacional,f,03/01/1960,Turismo,Integrante
428,Bravo Padilla,Itzcóatl Tonatiuh,Movimiento Ciudadano,v,07/02/1960,Presupuesto y Cuenta Pública,Integrante
491,López Aparicio,Delfino,Movimiento Regeneración Nacional,v,09/02/1960,"Ciencia, Tecnología e Innovación",Integrante
491,López Aparicio,Delfino,Movimiento Regeneración Nacional,v,09/02/1960,Pueblos Indígenas,Integrante
30,Rosete Sánchez,María de Jesús,Partido Encuentro Social,f,12/03/1960,Deporte,Integrante
356,Fernández Noroña,José Gerardo Rodolfo,Partido del Trabajo,v,19/03/1960,Defensa Nacional,Integrante
335,Carrazco Macías,Olegaria,Movimiento Regeneración Nacional,f,12/04/1960,Pesca,Integrante
335,Carrazco Macías,Olegaria,Movimiento Regeneración Nacional,f,12/04/1960,Trabajo y Previsión Social,Integrante
